
Final Battery: 76,Final Flight Time: 141
Final Battery: 42,Final Flight Time: 139
Final Battery: 28,Final Flight Time: 203
Final Battery: 88,Final Flight Time: 61
Final Battery: 80,Final Flight Time: 131
Final Battery: 60,Final Flight Time: 270
Final Battery: 59,Final Flight Time: 276
Final Battery: 74,Final Flight Time: 150
Final Battery: 42,Final Flight Time: 82
Final Battery: 25,Final Flight Time: 160
Final Battery: 59,Final Flight Time: 238
Final Battery: 13,Final Flight Time: 506
